invoice_id,client_id,project_id,invoice_type,invoice_title,invoice_date,subtotal,cgst,sgst,igst,tax_amount,total_amount,payment_status,gst_payment_status,payment_date,pdf_url,tax_pdf_id,proforma_pdf_id,created_at,service1_name_csv,service1_description,service1_amount,service2_name_csv,service2_description,service2_amount,service3_name_csv,service3_description,service3_amount,service4_name_csv,service4_description,service4_amount,service5_name_csv,service5_description,service5_amount,service6_name_csv,service6_description,service6_amount,service7_name_csv,service7_description,service7_amount,service8_name_csv,service8_description,service8_amount,service9_name_csv,service9_description,service9_amount,service10_name_csv,service10_description,service10_amount
WT2503INV013,CL101,,WT,Robinhood Lyrical Video,19-03-2025,100000,9000,9000,,18000,118000,,,,,,,,Lyrical Video,Item song,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2503INV020,CL049,,WT,Hit3 Lyrical Video,29-03-2025,175000,15750,15750,,31500,206500,,,,,,,,Lyrical Video,Hit 3 song - 5 languages,175000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV001,CL131,,WT,Jack - Influencer Marketing,03-04-2025,705000,63450,63450,,126900,831900,,,,,,,,,Male Influencers,270000,Gangavva and Tasty Teja influencers,135000,Female Influencers,300000,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV003,CL033,,WT,Single Movie - Lyrical Videos,05-04-2025,50000,4500,4500,,9000,59000,,,,,,,,Single Lyrical,Shilpi Yevaro song,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV004,CL227,,WT,Lenin - Meme Marketing,07-04-2025,180000,16200,16200,,32400,212400,,,,,,,,Meme Marketing,3 campaigns,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV005,CL095,,WT,SDGM Making,07-04-2025,90000,8100,8100,,16200,106200,,,,,,,,Making - March 2025,Capturing the BTS of SDGM Making,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV008,CL228,,WT,Odela2 Lyrical Videos,14-04-2025,45000,4050,4050,,8100,53100,,,,,,,,Lyricals,Song 1,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV010,CL033,,WT,Single Chiraku Aina Lyrical Videos,22-04-2025,40000,3600,3600,,7200,47200,,,,,,,,Lyricals,Chiraku aina single brathuku,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2502INV003,CL063,,WT,Real Insights - Social Media,28-02-2025,150000,13500,13500,,27000,177000,,,,,,,,Social Media Marketing,Mar-25,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2503INV002,CL038,,WTX,ZEE shoots,24-03-2025,44395,3995.55,3995.55,,7991.1,52386.1,,,,,,,,Videography charges,Digital Shoots for Holi Event,44395,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2503INV003,CL038,,WTX,ZEE - Social Media Marketing services,24-03-2025,650000,58500,58500,,117000,767000,,,,,,,,Social Media Marketing Services,For the month of March 2025,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2503INV004,CL038,,WTX,ZEE shoots,24-03-2025,3500,315,315,,630,4130,,,,,,,,Influencer charges,DJ Auditions promotions,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV001,CL147,,WTX,SAS Crown - Marketing,08-04-2025,250000,22500,22500,,45000,295000,,,,,,,,Marketing,For the month of April 2025,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV003,CL063,,WTX,Real Insights - Social Media,30-04-2025,150000,13500,13500,,27000,177000,,,,,,,,Social Media Marketing,May-25,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV006,CL128,,WTX,ART - Branding Advance,30-04-2025,118000,10620,10620,,21240,139240,,,,,,,,Branding,Advance for branding works,118000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2501INV006,CL038,,WT,ZEE Shoots,09-01-2025,116000,10440,10440,,20880,136880,,,,,,,,Videography charges,Digital Shoots for Sarigamapa,31000,Videography charges,Digital shoots for Sankranthi Sambaralu,85000,,,,,,,,,,,,,,,,,,,,,,,,
WT2503INV022,CL164,,WT,OSSS Advance Invoice,31-03-2025,500000,45000,45000,,90000,590000,,,,,,,,Marketing advance,,250000,Teasers and Trailers,,150000,Lyrical Video,First song,100000,,,,,,,,,,,,,,,,,,,,,
WT2504INV013,CL070,,WT,Durga Arts - Workspace Expenses,30-04-2025,143050,12874.5,12874.5,,25749,168799,,,,,,,,Workspace,Mar-25,82510,Workspace,Apr-25,60540,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV006,CL095,,WT,Jaat Lyrical Videos,07-04-2025,150000,13500,13500,,27000,177000,,,,,,,,Lyricals,3 songs,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV009,CL137,,WT,Kubera Marketing Advance,22-04-2025,450000,40500,40500,,81000,531000,,,,,,,,Marketing team,50% Advance for Kubera marketing,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV011,CL229,,WT,KD Setavvade Campaign,24-04-2025,1051000,94590,94590,,189180,1240180,,,,,,,,Infuencer campaign,"Setavvade Song - 85% advance and 15%
immediatey after campaign",1051000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2504INV012,CL035,,WT,YouTube Ads Campaign,24-04-2025,150000,13500,13500,,27000,177000,,,,,,,,YouTube Ads Campaign,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2505INV008,CL047,,WT,Bhakta Kannappa - Lyrical Videos,26-05-2025,175000,15750,15750,,31500,206500,,,,,,,,Lyrical Video,Sri Kalahasthi song,175000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2505INV010,CL230,,WT,Seetha Payanam - Lyrical Video,29-05-2025,80000,,0,,14400,94400,,,,,,,,First song Lyrical,With 1 additional language,"80,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2505INV005,CL137,,WT,Kubera Influencer Marketing,16-05-2025,150000,13500,13500,,27000,177000,,,,,,,,Kubera Influencer Marketing,Poyiraa song,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV002,CL038,,WTX,ZEE - Social Media Marketing services,30-04-2025,650000,58500,58500,,117000,767000,,,,,,,,Social Media Marketing Services,For the month of April 2025,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV004,CL147,,WTX,SAS Crown - Marketing,30-04-2025,"2,50,000",22500,22500,,45000,295000,,,,,,,,Marketing,For the month of May 2025,"2,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV004,CL231,,WTX,Minfy Tehnologies - Marketing,30-04-2025,150000,13500,13500,,27000,177000,,,,,,,,Marketing,For the month of May 2025,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV007,CL039,,WTX,NTR TRUST and Bhuvaneswari garu - Social Media Marketing,30-04-2025,100000,9000,9000,,18000,118000,,,,,,,,Social Media,NTR Trust,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV001,CL147,,WTX,SAS Crown - Marketing,30-05-2025,250000,22500,22500,,45000,295000,,,,,,,,Marketing,For the month of June 2025,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV002,CL063,,WTX,Real Insights - Social Media,30-05-2025,154500,13905,13905,,27810,182310,,,,,,,,Social Media Marketing,Jun-25,150000,Performance Marketing,Service Fee,4500,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV003,CL231,,WTX,Minfy Tehnologies - Marketing,30-05-2025,150000,13500,13500,,27000,177000,,,,,,,,Marketing,For the month of June 2025,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV004,CL039,,WTX,NTR TRUST and Bhuvaneswari garu - Social Media Marketing,30-05-2025,100000,9000,9000,,18000,118000,,,,,,,,Social Media,NTR Trust,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2505INV003,CL023,,WT,YouTube Channels Suspension,11-05-2025,60000,,0,10800,10800,70800,,,,,,,,YouTube Channels Suspension,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV004,CL172,,WT,Mad Square Marketing,12-06-2025,650000,58500,58500,,117000,767000,,,,,,,,Marketing,"Social Media creatives, Statics, Video
Edits, Post Copies, PR and Web Articles,
Concept Videos and interviews execution
and coordination",500000,Lyrical Videos,Swathi Reddy and Vaccharoi,150000,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV010,CL017,,WT,Thalapathy69 - Influencer Marketing,20-06-2025,1110000,99900,99900,,199800,1309800,,,,,,,,Influencers marketing,Telugu Twitter Influencers (Full Movie),600000,Influencers marketing,"Telugu Website coverage (GA, M9, T360,
Gulte, 123Telugu, Pinkvilla & Pinkvilla
South, Idlebarain) - Teaser - 1 Asset",280000,Influencers marketing,North Twitter Influencers - Teaser - 1,230000,,,,,,,,,,,,,,,,,,,,,
WT2506INV011,CL068,,WT,HERO - Brand Film Coordination,25-06-2025,325000,29250,29250,0,58500,383500,,,,,,,,HERO Coordination,,325000,,,,,Asset,,,,,,,,,,,,,,,,,,,,,,
WT2506INV012,CL156,,WT,HHVM - Marketing Advance,28-06-2025,300000,,0,54000,54000,354000,,,,,,,,Marketing,"Marketing - 7L (till July 24th 2025) - If
postponed, 1L extra for each month.
Advance 3L",300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV013,CL164,,WT,ENE2 Motion Poster and Announcement event,30-06-2025,125000,11250,11250,,22500,147500,,,,,,,,Motion Poster,,60000,Cameras Shoot,,35000,Twitter fandom influcencers,,30000,,,,,,,,,,,,,,,,,,,,,
